Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CS3221,CS3221_CA,CS3221_attendance,CS3211,CS3211_CA,CS3211_attendance,CS3233,CS3233_CA,CS3233_attendance,CS3224,CS3224_CA,CS3224_attendance,CS3214,CS3214_CA,CS3214_attendance,CS3222,CS3222_CA,CS3222_attendance,CS3212,CS3212_CA,CS3212_attendance,CS3235,CS3235_CA,CS3235_attendance,6sem_gpa,5th_sem_GPA,6sem_pass/fail
Female,3,No,No,Yes,C+,27,1,B-,26,1,C+,28,1,A,29,1,C-,28,1,C+,27,1,B-,28,1,C,29,1,2.29,2.958333333,0
Male,4,No,No,No,C+,21,1,A-,23,1,C-,22,1,C,24,1,D+,22,1,C-,21,1,B,22,1,C,23,1,2,2.216666667,0
Male,3,No,No,No,B,31,1,A-,30,1,C+,32,1,A+,31,1,C-,32,1,B,30,1,B,31,1,B,30,1,2.76,2.825,0
Male,2,No,Yes,No,B,28,1,A-,27,1,C+,29,1,B+,28,1,D,30,1,A+,27,1,B,28,1,B,27,1,2.71,2.631666667,0
Male,5,No,No,No,B-,30,1,B,31,1,C+,29,1,A+,32,1,C,31,1,A-,30,1,B,31,1,B+,29,1,2.89,2.743333333,1
Male,3,No,No,No,B-,24,1,B+,22,1,B,23,1,A,25,1,C,24,1,C+,23,1,B,24,1,B+,22,1,2.81,2.501666667,1
Male,2,Yes,No,No,C,29,1,B,28,1,C,31,1,B+,29,1,E,31,1,B,30,1,B-,29,1,C-,30,1,1.87,1.87,0
Male,1,Yes,No,Yes,C-,23,1,A-,22,1,D+,24,1,C-,21,1,E,24,1,D,23,1,B-,22,1,C-,24,1,1.41,1.54,0
Male,3,No,No,No,A-,28,1,A+,27,1,A,29,1,A+,26,1,B+,28,1,B+,27,1,A-,26,1,A+,30,1,3.7,3.268333333,1
Male,2,No,No,No,B,25,1,A-,24,1,B+,23,1,A,27,1,A+,26,1,A+,25,1,B-,27,1,A+,28,1,3.67,3.301666667,1
Male,4,No,No,No,A-,31,1,A+,30,1,A+,29,1,A+,32,1,A+,31,1,A+,30,1,A,29,1,A+,31,1,3.96,3.625,1
Male,3,No,Yes,No,A-,26,1,A+,25,1,A+,27,1,A+,28,1,A+,27,1,A+,28,1,A,26,1,A+,29,1,3.96,3.685,1
Female,5,Yes,No,No,A+,20,1,A+,18,1,A+,19,1,A+,22,1,A+,21,1,A+,20,1,A+,19,1,A+,23,1,4,3.591666667,1
Male,3,Yes,No,Yes,B+,30,1,A+,29,1,A,28,1,A+,31,1,A+,30,1,A+,29,1,A+,28,1,A+,30,1,3.91,3.675,1
