Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2121,CO2121_CA,CO2121_attendance,CO2122,CO2122_CA,CO2122_attendance,CO2112,CO2112_CA,CO2112_attendance,CO2123,CO2123_CA,CO2123_attendance,CO2124,CO2124_CA,CO2124_attendance,CO2114,CO2114_CA,CO2114_attendance,CO2125,CO2125_CA,CO2125_attendance,CO2115,CO2115_CA,CO2115_attendance,CO2126,CO2126_CA,CO2126_attendance,3sem_gpa,2nd_sem_GPA,3sem_pass/fail
Male,2,No,No,No,B+,21,1,C,12,1,B+,17,1,ab,16,1,D,19,1,C,11,1,E,18,1,A-,17,1,B,16,1,1.84,2.41,0
Male,less than 1 hour,Yes,No,Yes,B-,29,1,C+,26,1,B+,30,1,C+,27,1,D+,30,1,A-,24,1,B-,30,1,B,28,1,C+,29,1,2.48,2.585,0
Male,3,No,No,No,B,30,1,C,29,1,A-,31,1,B,30,1,B-,32,1,A,28,1,A-,31,1,B,30,1,A-,32,1,3.13,3.07,1
Female,6,No,No,No,A,22,1,A-,16,1,A+,21,1,A+,18,1,B,23,1,A-,14,1,A+,23,1,B-,22,1,A+,20,1,3.72,3.045,1
Male,1,No,No,Yes,B+,27,1,D,24,1,A,28,1,B-,26,1,C,28,1,B+,22,1,B-,29,1,A,26,1,A-,27,1,2.81,2.54,0
Male,6,No,No,No,B,30,1,E,29,1,B,32,1,B,29,1,C+,31,1,B,28,1,C-,31,1,B-,31,1,A,31,1,2.45,2.345,0
Male,6,No,No,Yes,B+,31,1,C+,27,1,A-,29,1,B,28,1,B,31,1,C+,26,1,A-,30,1,B+,29,1,A-,30,1,3.15,3.18,1
Female,6,No,No,Yes,A-,20,1,B+,14,1,A-,19,1,A,15,1,C+,21,1,C+,13,1,A,21,1,B,19,1,C+,19,1,3.21,3.4,1
Female,1,Yes,No,Yes,A,30,1,C,28,1,A-,31,1,B-,30,1,C,31,1,B,28,1,C+,32,1,B+,31,1,B+,32,1,2.84,2.8,1
Female,6,No,Yes,No,B+,26,1,B,23,1,A-,26,1,B,25,1,B-,26,1,B-,22,1,B+,27,1,B-,25,1,B,25,1,3.05,2.65,1
Male,3,Yes,No,Yes,A,31,1,B,29,1,A-,32,1,A,30,1,B,32,1,B,29,1,A-,32,1,B+,31,1,A,31,1,3.56,3.28,1
Female,2,No,Yes,No,A+,29,1,ab,25,0,ab,28,0,B+,26,1,B,29,1,B,23,1,A+,29,1,B+,28,1,A-,28,1,2.82,3.275,0
Female,5,No,No,Yes,B+,25,1,B+,19,1,A+,23,1,B,21,1,C+,24,1,B-,16,1,B+,25,1,B+,22,1,A-,22,1,3.19,2.915,1
Male,6,No,No,No,B,29,1,C-,27,1,B,30,1,B,28,1,B-,30,1,B,26,1,C+,30,1,B+,29,1,A-,29,1,2.81,3.245,0
Male,4,Yes,No,Yes,A,30,1,C,28,1,B,32,1,C,30,1,D+,31,1,B,28,1,D+,31,1,B,30,1,B,32,1,2.41,2.24,0
Female,4,No,No,No,A+,24,1,ab,20,0,ab,25,1,A,22,1,C+,25,1,B-,19,1,A-,26,1,B,23,1,A+,24,1,2.78,2.8,0
Male,3,No,Yes,No,B,31,1,C-,29,1,ab,31,0,C,30,1,C,32,1,B,29,1,C+,32,1,B+,31,1,B-,32,1,2.25,2.615,0
Male,4,No,No,Yes,B+,29,1,D,26,1,A,30,1,C,27,1,D+,30,1,B+,25,1,C+,30,1,B-,28,1,B,29,1,2.39,2.69,0
Male,3,Yes,No,No,B-,21,1,E,14,1,A+,19,1,B-,16,1,C,21,1,B+,12,1,B,21,1,B,19,1,A-,18,1,2.57,2.425,0
Female,5,No,No,No,A-,30,1,B+,28,1,A+,31,1,A,29,1,B-,31,1,B,28,1,A,32,1,B+,31,1,A-,30,1,3.54,3.17,1
Female,4,Yes,No,No,A-,28,1,C+,24,1,A-,28,1,C+,25,1,C,28,1,B,22,1,B,29,1,B,26,1,A-,27,1,2.91,2.885,1
Male,4,No,No,No,C+,25,1,C+,20,1,B+,27,1,B,23,1,C+,27,1,A,19,1,B,27,1,B,25,1,A,24,1,2.94,2.985,1
