Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2221,CO2221_CA,CO2221_attendance,CO2222,CO2222_CA,CO2222_attendance,CO2212,CO2212_CA,CO2212_attendance,CO2223,CO2223_CA,CO2223_attendance,CO2213,CO2213_CA,CO2213_attendance,CO2224,CO2224_CA,CO2224_attendance,CO2214,CO2214_CA,CO2214_attendance,CO2225,CO2225_CA,CO2225_attendance,CO2226,CO2226_CA,CO2226_attendance,4sem_gpa,3rd_sem_GPA,4sem_pass/fail
Male,3,No,Yes,No,A+,27,1,B+,23,1,A+,25,1,A-,25,1,A+,25,1,A,19,1,A+,27,1,A+,23,1,B+,27,1,3.77,2.943333333,1
Male,1,No,Yes,Yes,A,29,1,B+,28,1,B+,29,1,A,29,1,A,28,1,A+,20,1,A+,30,1,A,29,1,A+,28,1,3.86,1.813333333,1
Male,4,Yes,No,No,A+,25,1,A,19,1,A+,26,1,A+,20,1,A,22,1,A,17,1,A,26,1,A,23,1,A+,21,1,4,2.616666667,1
Female,4,No,No,Yes,A+,22,1,A-,14,1,A,23,1,A,21,1,A,20,1,A+,15,1,B,25,1,A-,20,1,A,19,1,3.85,2.863333333,1
Male,4,No,No,No,A-,31,1,A+,26,1,B+,29,1,A+,25,1,A,28,1,A+,30,1,A+,31,1,A,29,1,A+,30,1,3.91,3.026666667,1
Male,less than 1 hour,Yes,Yes,No,B+,30,1,A,27,1,A+,30,1,A+,29,1,A,27,1,A,25,1,A,29,1,B+,28,1,A,29,1,3.81,3.183333333,1
Male,2,Yes,No,No,A,21,1,A,10,1,A+,19,1,A+,23,1,B+,22,1,A,18,1,A,22,1,A+,21,1,A,19,1,3.95,2.656666667,1
Male,3,No,No,Yes,B,28,1,A+,26,1,A,31,1,A,30,1,A+,31,1,B+,29,1,A+,31,1,A,30,1,A,30,1,3.77,2.463333333,1
Male,1,No,Yes,Yes,A+,22,1,A,13,1,A+,20,1,A+,19,1,A+,20,1,A,11,1,A+,23,1,A,19,1,A,17,1,4,3.103333333,1
Male,5,No,No,No,A-,31,1,B+,24,1,A,29,1,A-,27,1,A+,30,1,A,27,1,A,30,1,B+,27,1,A+,30,1,3.73,2.836666667,1
Male,2,No,No,No,B+,29,1,B+,25,1,A,26,1,A,24,1,A,28,1,A+,21,1,A+,27,1,A,24,1,B+,28,1,3.72,2.22,1
Male,less than 1 hour,Yes,No,Yes,A+,27,1,B+,18,1,A+,23,1,A,25,1,A,25,1,A,20,1,A+,26,1,A,22,1,A+,25,1,3.91,2.55,1
Male,3,No,No,No,B,28,1,A,26,1,A+,28,1,B+,28,1,A,29,1,A+,26,1,A,29,1,A+,28,1,A,28,1,3.77,3.09,1
Female,6,No,No,No,A+,25,1,A+,19,1,A,24,1,A+,21,1,A,23,1,A+,17,1,B,25,1,A,22,1,A+,24,1,3.93,3.27,1
Male,1,No,No,Yes,A+,30,1,A,31,1,B+,32,1,A+,30,1,A,32,1,A,29,1,A+,31,1,A+,32,1,B,30,1,3.82,2.63,1
Male,6,No,No,No,A+,29,1,B+,28,1,A+,29,1,A,29,1,A,30,1,A+,28,1,A+,30,1,A+,29,1,A+,29,1,3.91,2.38,1
Male,6,No,No,Yes,A,24,1,A+,22,1,A,27,1,A,25,1,A+,26,1,A,23,1,A+,27,1,B+,25,1,A+,25,1,3.91,3.17,1
Female,6,No,No,Yes,A+,29,1,B+,30,1,A,30,1,A+,29,1,B+,30,1,A+,30,1,A+,30,1,A,30,1,A+,30,1,3.86,3.336666667,1
Female,1,Yes,No,Yes,B+,21,1,A+,13,1,A,19,1,A,17,1,A,21,1,A,16,1,B+,21,1,A+,18,1,A+,17,1,3.86,2.813333333,1
Female,6,No,Yes,No,A,26,1,A+,25,1,A,28,1,A+,27,1,A,28,1,B+,26,1,A+,28,1,A,27,1,A+,27,1,3.91,2.783333333,1
Male,3,Yes,No,Yes,A,30,1,A+,28,1,A,31,1,A,29,1,A-,30,1,A,30,1,A+,31,1,B+,30,1,A,30,1,3.89,3.373333333,1
Female,2,No,Yes,No,A,23,1,A-,12,1,A,20,1,A,15,1,A+,22,1,A,14,1,A+,21,1,A+,18,1,A,16,1,3.96,3.123333333,1
Female,5,No,No,Yes,A+,31,1,B+,29,1,A+,32,1,A,30,1,A+,31,1,A+,30,1,A+,32,1,A,31,1,B+,31,1,3.81,3.006666667,1
Male,6,No,No,No,B,29,1,A,27,1,A+,29,1,A,27,1,A+,29,1,A-,26,1,A,30,1,A,28,1,A,28,1,3.83,3.1,1
Male,4,Yes,No,Yes,B+,23,1,A,19,1,B,26,1,A+,22,1,A,24,1,A+,20,1,A,25,1,A+,23,1,A+,22,1,3.84,2.296666667,1
Female,4,No,No,No,A+,30,1,B+,31,1,A+,30,1,A+,29,1,A+,31,1,A,31,1,A,32,1,A,30,1,A,31,1,3.91,2.793333333,1
Male,3,No,Yes,No,B+,17,1,B,9,1,B+,18,1,A,14,1,A-,19,1,A,10,1,A+,19,1,A-,13,1,B+,11,1,3.57,2.493333333,1
Male,4,No,No,Yes,A,28,1,A,24,1,A+,29,1,A+,25,1,A,28,1,A,27,1,A+,30,1,A,28,1,A+,28,1,4,2.59,1
Male,3,Yes,No,No,A+,25,1,B,21,1,A+,27,1,A,23,1,A+,25,1,A,22,1,A+,26,1,A+,24,1,A+,24,1,3.57,2.473333333,1
Female,5,No,No,No,A-,29,1,A+,26,1,A+,29,1,A+,26,1,A,30,1,A+,27,1,A,30,1,A+,29,1,A,30,1,3.96,3.293333333,1
Female,4,Yes,No,No,A+,28,1,A+,23,1,A+,26,1,A+,23,1,B+,27,1,A,21,1,A+,28,1,B+,24,1,A+,25,1,3.86,2.893333333,1
Male,4,No,No,No,B+,26,1,A+,22,1,A+,25,1,A,22,1,A+,26,1,A+,20,1,A,26,1,A+,23,1,A,23,1,3.91,2.97,1
Female,2,Yes,No,No,A,31,1,A,30,1,A+,32,1,A+,31,1,A,31,1,A+,30,1,A+,32,1,A+,31,1,A,32,1,4,2.603333333,1
Male,6,No,No,No,A+,24,1,A,18,1,A+,23,1,A,19,1,B+,25,1,A,18,1,A+,26,1,A,22,1,A+,21,1,3.95,1.543333333,1
Male,less than 1 hour,Yes,No,Yes,B+,25,1,B,20,1,A,26,1,A,21,1,A+,27,1,A,21,1,A+,27,1,A,24,1,A+,24,1,3.77,2.76,1
Female,3,No,No,Yes,A+,27,1,A,21,1,A,28,1,A,23,1,A+,28,1,A+,24,1,A+,29,1,A,25,1,A+,26,1,4,2.563333333,1
Male,4,No,No,No,B+,18,1,A+,9,1,B+,16,1,A,8,1,A,20,1,A+,11,1,A+,20,1,A+,15,1,A+,9,1,3.86,2.273333333,1
Male,3,No,No,No,A,26,1,A+,25,1,A+,28,1,A,26,1,A+,29,1,A,27,1,A+,30,1,A,27,1,A,28,1,4,2.81,1
Male,2,No,Yes,No,A,19,1,A,10,1,B+,18,1,A+,14,1,A,22,1,A+,11,1,A+,22,1,A,14,1,A+,13,1,3.95,2.473333333,1
Male,5,No,No,No,A+,29,1,A+,23,1,A+,30,1,A,28,1,B+,30,1,A+,26,1,A+,31,1,A+,29,1,A,30,1,3.95,2.59,1
Male,3,No,No,No,B+,27,1,A+,20,1,A+,25,1,A,23,1,A,26,1,A,21,1,A+,28,1,A,25,1,A+,25,1,3.91,2.04,1
Male,2,Yes,No,No,A+,16,1,A,7,1,A+,14,1,A+,12,1,B,17,1,A+,8,1,A,18,1,A+,11,1,A+,10,1,3.93,1.763333333,1
Male,1,Yes,No,Yes,B+,25,1,A,19,1,A+,27,1,A,21,1,A+,28,1,A,21,1,A+,28,1,A,24,1,A+,23,1,3.91,1.203333333,1
